BD Ticket #,Server SN,IP Address,START DATE,END DATE,Product Name,Model,RACK,FAULT TYPE,If change Part,Foxconn PN,OLD Manufacturer,OLD PN,NEW Manufacturer,NEW PN,OLD PART SN,NEW PART SN,PART POSITION,Error Description,FEEDBACK,TECH,Repair Time,Period,Status,Requester,Notes,Initial Stock Status ,FOXCONN CHINA or USA,Platform,Over time reason,HHPN
1787279,MXX3160304,fdbd:dc61:16:417::35,2024/1/2,2024/1/2,B16S2-I8VD2-US,G220-A5,USVACT_C_DH13-D-08,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN TG AD 241,Hynix,HMAA4GR7CJR8N-XN TG AC 235,80AD01224145FCA42C,80AD01223545DF9B8C,P0_C5_D0,Uncorrectable ECC other uncorrectable memory error 68 | 01/02/2024 | 00:01:08 | Memory P0_C5_D0_Status | Uncorrectable ECC | Asserted,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P0_C5_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler/Zihao Lin,2024/1/2,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1785421,MXX2391451,10.54.132.143,2023/12/31,2024/1/2,B16S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH101-D-17,Memory,Y,N/A,Samsung,M393A4K40EB3-CWE,Samsung,VN M393A4K40EB3-CWE 2237,H0GE00022751F42797,H1FA00023742272C34,P0_C6_D0,Uncorrectable ECC other uncorrectable memory error 53 | 12/29/2023 | 20:41:27 | Memory P0_C6_D0_Status | Uncorrectable ECC | Asserted,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P0_C6_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/2,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1785421,MXX2391451,10.54.132.143,2023/12/31,2024/1/2,B16S2-I8VD2-US,G220-A5,USVASTEKCR_C1STE7_DH101-D-17,CPU,Y,N/A,Intel,110118100-187-G,Intel,110118100-187-G,72Q12L8300248,43FK955501026,CPU0,IERR 54 | 12/29/2023 | 20:41:32 | Processor CPU0_Status | IERR | Asserted,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU0, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/2,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1677854,MXX1390466,10.190.210.105,2023/12/30,2024/1/2,B04-BF65S1,R-5112,USVAASH_DRTP_P212-H-07,System,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,System,"Undetermined system hardware failure System is powered off and fails to power on via ipmitool. SEL has many lines of power on & warm resets. The system is likely experiencing some type of hardware fault and needs to be checked by the manufacturer.
","1. This is a ByteDance System Failure ticket. 2. After reseat CPU1, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/2,10~17,Confirm Closed,John Bernstein/john.bernstein,,,FOXCONN CHINA,Purley,,
1785862,MXX2300446,10.222.117.34,2024/1/3,2024/1/3,B20S2-I8VD2-US,G220-A5,USVASTE_DRTR_R208-K-02,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN,Hynix,HMAA4GR7CJR8N-XN TG AC 235,80AD012216865529BB,80AD01223545DF9A23,P0_C7_D0,Uncorrectable ECC other uncorrectable memory error SensorName:P0_C7_D0_Status;Status:0x0280,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P0_C7_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li,2024/1/3,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1785884,MXX1450380,10.233.136.48,2024/1/3,2024/1/3,B04-BF65S1,AliServer-Thor2-04-2U,USVAASH_DRTP_P100-H-42,CPU,Y,N/A,Intel,11011BW00-187-G,Intel,11011BW00-187-G,M14M3J2600484,M1CX315700085,System,Motherboard Failed Both CPU1 and CPU0 encountered issues. CPU1 is getting frequent IERR assertions and CPU0 is reporting a configuration error. Since this is happening to both CPUs then the issue most likely follows either the motherboard. This problem occurred for the host in the past and was resolved with a CPU reseat(s) it appears. Please check the pins for any bent pins. The issue seems to start with the CPU1 IERR and then after a power cycle the CPU0_status configuration error occurs early into POST.,"1. This is a ByteDance CPU Failure ticket. 2. Replaced CPU1, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li,2024/1/3,10~17,Confirm Closed,John Bernstein/john.bernstein,,,FOXCONN CHINA,Purley,,
1787367,MXX3220363,fdbd:dc61:1a:225::47,2024/1/3,2024/1/3,B20S2-I8VD2-US,G220-A5,USVADRTM2_M2_M116-F-52,Memory,Y,N/A,Hynix,HMAA4GR7CJR8N-XN,Hynix,HMAA4GR7CJR8N-XN TG AC 235,80AD0122498730CB05,80AD01223545DF9ABE,P1_C7_D0,Uncorrectable ECC other uncorrectable memory error 1d | 12/30/2023 | 16:36:43 | Memory P1_C7_D0_Status | Uncorrectable ECC | Asserted,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced P1_C7_D0 DIMM, then no error on the server. 3. Used Dora system and now the ticket is closed.",mingquan li,2024/1/3,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN AMERICA,Whitley,,
1771371,MXX3130042,fdbd:dc61:16:487::43,2024/1/3,2024/1/3,B20S2-I8VD2-US,G220-A5,USVACT_C_DH13-H-09,PowerFault,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,System,Power Fault State Asserted 56 | 12/11/2023 | 18:47:39 | Power Unit Power_Fault | State Asserted | Asserted 57 | 12/11/2023 | 18:47:39 | Power Unit Power_Fault | State Asserted | Asserted,"1. This is a ByteDance PowerFault Failure ticket. 2. Reseat PSU1 and PSU2, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/3,10~17,Confirm Closed,John Bernstein/john.bernstein,,,FOXCONN AMERICA,Whitley,,
1787142,MXX0130058,10.189.84.54,2024/1/4,2024/1/8,S06-I6VD2-US,R-5211,USVAASH_DRTL_L106-F-04,Memory,Y,N/A,Samsung,VN M393A4K40CB2-CVF 2007,Micron,MTA36ASF4G72PZ-3G2R1 306,H0KI00000742DAA3B1,S802C0F23063E27C467,P0_C1_D0,Critical Overtemperature SensorName:CPU0 B0;Status:0x0014,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/4,10~17,Confirm Closed,isaac.xu/isaac.xu,,,FOXCONN CHINA,Purley,,
1787142,MXX0130058,10.189.84.54,2024/1/4,2024/1/8,S06-I6VD2-US,R-5211,USVAASH_DRTL_L106-F-04,Memory,Y,N/A,Samsung,VN M393A4K40CB2-CVF 2007,Micron,MTA36ASF4G72PZ-3G2R1 306,H0KI00000742DAA3AB,S802C0F23063E27C1FA,CPU0A0,Critical Overtemperature SensorName:CPU0 B0;Status:0x0014,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/4,10~17,Confirm Closed,isaac.xu/isaac.xu,Replaced parts are good,,FOXCONN CHINA,Purley,,
1787142,MXX0130058,10.189.84.54,2024/1/4,2024/1/8,S06-I6VD2-US,R-5211,USVAASH_DRTL_L106-F-04,Memory,Y,N/A,Samsung,VN M393A4K40CB2-CVF 2007,Micron,MTA36ASF4G72PZ-3G2R1 306,H0KI00000742DAA419,S802C0F23063E27C48F,CPU1B0,Critical Overtemperature SensorName:CPU0 B0;Status:0x0014,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/4,10~17,Confirm Closed,isaac.xu/isaac.xu,Replaced parts are good,,FOXCONN CHINA,Purley,,
1787142,MXX0130058,10.189.84.54,2024/1/4,2024/1/8,S06-I6VD2-US,R-5211,USVAASH_DRTL_L106-F-04,Memory,Y,N/A,Samsung,VN M393A4K40CB2-CVF 2007,Micron,MTA36ASF4G72PZ-3G2R1 306,H0KI00000742DA9CFC,S802C0F23063E27C1F2,CPU1A0,Critical Overtemperature SensorName:CPU0 B0;Status:0x0014,"1. This is a ByteDance DIMM Failure ticket. 2. Replaced all DIMMs, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/4,10~17,Confirm Closed,isaac.xu/isaac.xu,Replaced parts are good,,FOXCONN CHINA,Purley,,
1694322,MXX3270016,fdbd:dc61:17:197::12,2024/1/5,2024/1/12,S27S2-I8VD3-US,S520-A5,USVACT_D_DH12-A-07,Disk,Y,N/A,Western Digital,WUH721818ALE6L4,Western Digital,WUH721818ALE6L4,2JJW9U4K,6RG9NTUW,sdp,"Disk Failed: Read SMART Data failed SMART: sdp error
","1. This is a ByteDance Disk Failure ticket. 2. Replaced HDD15, then no error on the server. 3. Used Dora system and now the ticket is closed.",Brian Tyler,2024/1/5,10~17,Confirm Closed,Linsong Liu/linsongliu,BD says OS needs to be reinstalled and they will close,,FOXCONN AMERICA,Whitley,,
1776515,MXX3360387,fdbd:dc61:19:165::26,2024/1/5,2024/1/5,S27S2-I8VD3-US,S520-A5,USVADRTM2_M2_M216-E-26,Ping,Y,N/A,Hynix,HMAA8GR7CJR4N-XN T4 AD 247,Hynix,HMAA8GR7CJR4N,80AD0222472857FBE4,80AD022247285BABF5,OS all IP unreachable,"OS all IP unreachable Based on previous ticket, BOTH CPUs were replaced and the DIMM -- P0_C0_D0 -- . Currently two DIMMs are disabled during POST: P0_C1_D0_Status, P0_C5_D0_Status. It is possible that during CPU replacement and/or reseating that pins may have been damaged in the socket. Vendor FE will need to come in and check the CPU socket.","1. This is a ByteDance DIMM Failure ticket. 2. Replaced DIMM C0_P0_D0, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/5,10~17,Confirm Closed,Linsong Liu/linsongliu,,,FOXCONN AMERICA,Whitley,,
1776515,MXX3360387,fdbd:dc61:19:165::26,2024/1/5,2024/1/5,S27S2-I8VD3-US,S520-A5,USVADRTM2_M2_M216-E-26,Ping,Y,N/A,Hynix,HMAA8GR7CJR4N-XN T4 AD 247,Hynix,HMAA8GR7CJR4N,80AD022247285BABF9,80AD022247285BABEF,OS all IP unreachable,"OS all IP unreachable Based on previous ticket, BOTH CPUs were replaced and the DIMM -- P0_C0_D0 -- . Currently two DIMMs are disabled during POST: P0_C1_D0_Status, P0_C5_D0_Status. It is possible that during CPU replacement and/or reseating that pins may have been damaged in the socket. Vendor FE will need to come in and check the CPU socket.","1. This is a ByteDance DIMM Failure ticket. 2. Replaced DIMM C0_P1_D0, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/5,10~17,Confirm Closed,Linsong Liu/linsongliu,,,FOXCONN AMERICA,Whitley,,
1779917,MXX3420186,fdbd:dc61:19:75::20,2024/1/5,2024/1/5,S27S2-I8VD3-US,S520-A5,USVADRTM2_M2_M216-C-01,Disk,Y,N/A,Intel,SSDPF2KX038T1,Intel,SSDPF2KX038T1,PHAX337607RP3P8CGN,PHAX232600LU3P8CGN,nvme3n1,NVME: Critical Warning value is 0x10 Critical Warning:0x10 SmartHealth:FAILED!,"1. This is a ByteDance Disk Failure ticket. 2. Replaced Nvme3n1, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/5,10~17,Confirm Closed,Linsong Liu/linsongliu,,,FOXCONN AMERICA,Whitley,,
1788462,MXX3340291,fdbd:dc61:19:107::48,2024/1/5,2024/1/5,B16S2-I8VD2-US,G220-A5,USVADRTM2_M2_M216-C-50,Ping,Y,N/A,Foxconn,02012WS00-600G,Foxconn,02012WS00-600G,02012WS00T0JI80J3,02012WS00T0JI80EJ,OS all IP unreachable,"[tiansu]The server is not reachable for the past 16m, will require authorization for repair. Ticket is in (Asking owner to reboot) stage: Server will be rebooted after authorized to proceed. Ticket is in (Request business authorization repair) stage: Server will be undergoing maintenance after authorized to proceed. The server may be reinstalled during the maintenance process, which will cause the data of the disk to be lost. If you need special attention, please contact IDC oncall.","1. This is a ByteDance Motherboard Failure ticket. 2. Replaced Motherboard, then no error on the server. 3. Used Dora system and now the ticket is closed.",Naiquan qiao/mingquan li,2024/1/5,10~17,Confirm Closed,Sean Hopeck/sean.hopeck,New mac address:FC6179B5D4C2,,FOXCONN AMERICA,Whitley,,
